Hospital,N,Accuracy,Selection_Rate,True_Rate,DI_RACE,WTPR_RACE,DI_AGE_GROUP,WTPR_AGE_GROUP
191000,582,0.8264604810996563,0.45017182130584193,0.43127147766323026,0.0,0.7692307692307693,0.6282372598162071,0.7926829268292683
198000,555,0.8324324324324325,0.6126126126126126,0.5423423423423424,0.5,0.5,0.5866363636363636,0.8926829268292683
207001,1089,0.869605142332415,0.48484848484848486,0.4921946740128558,0.2,0.8598130841121495,0.4716763005780347,0.8259668508287292
212000,1901,0.8416622830089426,0.44502893214097844,0.40557601262493426,0.23076923076923078,0.7846153846153846,0.4553030303030303,0.8114901256732495
214000,1035,0.8057971014492754,0.47729468599033814,0.48985507246376814,0.5265574774223175,0.6551724137931034,0.4443896626812934,0.7204301075268817
216001,234,0.8717948717948718,0.38461538461538464,0.4017094017094017,0.7604166666666666,0.8133333333333334,0.3414028553693358,0.7454545454545455
219000,252,0.7777777777777778,0.4523809523809524,0.6031746031746031,0.31351351351351353,0.3333333333333333,0.49606069448497225,0.6056338028169014
221000,103,0.7669902912621359,0.5728155339805825,0.4563106796116505,0.39999999999999997,0.75,0.4794520547945205,0.8076923076923077
228001,747,0.8795180722891566,0.3748326639892905,0.39357429718875503,0.5802387753607267,0.7951807228915663,0.30792227204783257,0.7699115044247787
229000,1272,0.8655660377358491,0.4913522012578616,0.44025157232704404,0.0,0.863013698630137,0.4671843420912669,0.8856502242152466
230000,432,0.8402777777777778,0.35648148148148145,0.4513888888888889,0.0,0.0,0.38900067069081157,0.6474820143884892
235000,2499,0.8371348539415766,0.54421768707483,0.5398159263705482,0.7281553398058253,0.7719298245614035,0.5934157754010695,0.8251308900523561
243000,262,0.7862595419847328,0.3702290076335878,0.5229007633587787,0.0,0.0,0.4393939393939394,0.5730337078651685
246000,543,0.8121546961325967,0.5985267034990792,0.4622467771639042,0.6944525689772838,0.9371980676328503,0.559891633877314,0.930379746835443
251000,949,0.8577449947312961,0.5163329820864068,0.5026343519494204,0.6371778972027009,0.8108108108108109,0.5249963689179376,0.831858407079646
255000,1236,0.8317152103559871,0.48058252427184467,0.5436893203883495,0.6809659890454851,0.5,0.5478273549139692,0.758095238095238
256000,190,0.8526315789473684,0.35789473684210527,0.3368421052631579,0.0,0.0,0.3773049645390071,0.7692307692307693
263000,704,0.8480113636363636,0.37642045454545453,0.45170454545454547,0.7089249492900609,0.7368421052631579,0.4549114331723027,0.7311827956989247
266000,1037,0.8090646094503375,0.5785920925747348,0.40501446480231434,0.1984126984126984,0.9774647887323944,0.49991925390609226,0.9672131147540983
280000,148,0.8243243243243243,0.1891891891891892,0.3108108108108108,0.0,0.0,0.29304029304029305,0.4
283000,975,0.877948717948718,0.4605128205128205,0.4594871794871795,0.4052863436123348,0.8466898954703833,0.5281663984152531,0.8522012578616353
285000,244,0.7909836065573771,0.3729508196721312,0.39344262295081966,0.840628507295174,0.6941176470588235,0.3046594982078853,0.6229508196721312
286000,2047,0.8470933072789448,0.44797264289203714,0.4054714215925745,0.6956521739130435,0.8561151079136691,0.44128553770086526,0.8392226148409894
292000,115,0.8,0.4,0.4956521739130435,0.7927927927927927,0.6153846153846154,0.5274725274725275,0.6538461538461539
297000,872,0.8325688073394495,0.45298165137614677,0.5126146788990825,0.3300184162062615,0.3333333333333333,0.49476992143658816,0.7233201581027668
298000,370,0.7864864864864864,0.24054054054054055,0.42162162162162165,0.34285714285714286,0.3333333333333333,0.4004248539564525,0.5
299001,116,0.8017241379310345,0.646551724137931,0.5,0.66,0.9117647058823529,0.5465116279069767,0.8333333333333334
300000,738,0.8455284552845529,0.48644986449864497,0.45663956639566394,0.6576923076923077,0.75,0.5201092782792129,0.8240343347639485
301000,535,0.8897196261682243,0.297196261682243,0.3252336448598131,0.8319327731092437,0.77,0.26442516268980476,0.7478991596638656
302000,1809,0.839690436705362,0.3648424543946932,0.39358761746821447,0.5419921875,0.7058823529411765,0.4385445926966292,0.6981519507186859
303000,150,0.82,0.3333333333333333,0.42,0.24374999999999997,0.4,0.23746312684365783,0.5526315789473685
314001,586,0.7918088737201365,0.6877133105802048,0.4931740614334471,0.8823966328299083,0.9858657243816255,0.6424448567305711,0.978021978021978
315002,378,0.7354497354497355,0.6878306878306878,0.4973544973544973,0.5064935064935064,0.75,0.8182261208576999,0.8181818181818182
316002,493,0.8742393509127789,0.2657200811359026,0.2129817444219067,0.23339449541284404,0.6,0.42483296213808464,0.8043478260869565
318000,1388,0.8443804034582133,0.35014409221902015,0.38904899135446686,0.778030303030303,0.7432432432432432,0.5296272493573265,0.7215777262180975
319000,1087,0.8528058877644894,0.5979760809567617,0.47838086476540936,0.4979423868312757,0.8,0.5292184075967861,0.9519230769230769
323000,180,0.8444444444444444,0.5277777777777778,0.5166666666666667,0.7407407407407407,0.6,0.48120300751879697,0.8181818181818182
331000,2672,0.8263473053892215,0.5471556886227545,0.5793413173652695,0.6553639529099652,0.6842105263157895,0.6721261753108887,0.8057190916736754
332000,464,0.8793103448275862,0.45689655172413796,0.5,0.0,0.0,,
334002,155,0.8709677419354839,0.5290322580645161,0.49032258064516127,0.0,0.9078947368421053,0.5208333333333334,0.8444444444444444
335000,1037,0.8216007714561234,0.3500482160077146,0.3741562198649952,0.17295597484276728,0.5128205128205128,0.35495432998034454,0.7002967359050445
335001,349,0.9054441260744985,0.44412607449856734,0.3839541547277937,0.5614035087719298,0.9166666666666666,,
336001,669,0.828101644245142,0.6233183856502242,0.47234678624813153,0.5444444444444444,0.90625,0.6798848028356225,0.9642857142857143
337001,927,0.837108953613808,0.4843581445523193,0.4703344120819849,0.5774456521739131,0.6951219512195121,0.4640954613253782,0.7873754152823921
339000,993,0.837865055387714,0.39375629405840884,0.4209466263846928,0.7189189189189188,0.769620253164557,0.4180597328110792,0.7234726688102894
339001,605,0.8033057851239669,0.6033057851239669,0.5685950413223141,0.7291666666666666,0.8503184713375797,0.8107185526540365,0.8306451612903226
340000,1483,0.7538772757923129,0.6277815239379636,0.45853000674308836,0.7006278538812786,0.8317757009345794,0.7184115171822645,0.8953271028037383
347000,2081,0.8337337818356559,0.5233061028351754,0.4666025949062951,0.9016216216216215,0.8554216867469879,0.6156171158793995,0.8705463182897862
349001,1304,0.8343558282208589,0.5168711656441718,0.4156441717791411,0.4532019704433497,0.8695652173913043,0.5379230905546695,0.8994565217391305
363000,1000,0.842,0.57,0.558,0.45454545454545453,0.6,0.6033476228431097,0.8431876606683805
363001,269,0.862453531598513,0.49070631970260226,0.4349442379182156,0.6578171091445427,0.8666666666666667,0.4729429206819867,0.8333333333333334
370000,805,0.8795031055900621,0.3018633540372671,0.2956521739130435,0.0,0.0,0.24266553119012135,0.7248322147651006
374000,563,0.8809946714031972,0.42628774422735344,0.4351687388987567,0.27886710239651413,0.7142857142857143,0.3838383838383838,0.8051948051948052
383000,161,0.8757763975155279,0.2981366459627329,0.3105590062111801,0.3863636363636363,0.3333333333333333,0.3387096774193548,0.6451612903225806
384000,931,0.7722878625134264,0.3319011815252417,0.4865735767991407,0.622582304526749,0.0,0.3,0.5930232558139535
389000,1147,0.8953792502179599,0.4106364428945074,0.43679163034001744,0.0,0.8377483443708609,0.43582887700534756,0.8179271708683473
390000,602,0.8322259136212624,0.5897009966777409,0.5282392026578073,0.5057948451824944,0.8461538461538461,0.5233463035019456,0.8672199170124482
392000,468,0.8568376068376068,0.344017094017094,0.2606837606837607,0.36678653154625696,0.5,0.3294573643410853,0.84
393000,214,0.8785046728971962,0.03271028037383177,0.1542056074766355,,,0.049723756906077346,0.11764705882352941
