Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
DecisionTree,ETHNICITY,EOD,0.036972,0.007772,0.1,0.063,8.1,0.0,100.0,FAIR
DecisionTree,ETHNICITY,TI,0.003067,0.002432,0.1,0.0969,39.9,0.0,100.0,FAIR
DecisionTree,ETHNICITY,PP,0.017049,0.010479,0.1,0.083,7.9,0.0,100.0,FAIR
DecisionTree,ETHNICITY,CAL,0.106405,0.034293,0.05,0.0564,1.6,0.0,0.0,UNFAIR
DecisionTree,AGE_GROUP,DI,0.279011,0.012487,0.8,0.521,41.7,0.0,0.0,UNFAIR
DecisionTree,AGE_GROUP,SPD,0.437515,0.009411,0.1,0.3375,35.9,0.0,0.0,UNFAIR
DecisionTree,AGE_GROUP,EOPP,0.237249,0.025318,0.1,0.1372,5.4,0.0,0.0,UNFAIR
DecisionTree,AGE_GROUP,EOD,0.237249,0.025318,0.1,0.1372,5.4,0.0,0.0,UNFAIR
DecisionTree,AGE_GROUP,TI,0.020939,0.004309,0.1,0.0791,18.3,0.0,100.0,FAIR
DecisionTree,AGE_GROUP,PP,0.112495,0.025389,0.1,0.0125,0.5,0.3333,33.3,UNFAIR
DecisionTree,AGE_GROUP,CAL,0.226788,0.065812,0.05,0.1768,2.7,0.0,0.0,UNFAIR
CatBoost,RACE,DI,0.616837,0.115662,0.8,0.1832,1.6,0.0333,3.3,UNFAIR
CatBoost,RACE,SPD,0.189645,0.056776,0.1,0.0896,1.6,0.0333,3.3,UNFAIR
CatBoost,RACE,EOPP,0.149781,0.084794,0.1,0.0498,0.6,0.3,30.0,UNFAIR
CatBoost,RACE,EOD,0.151024,0.083311,0.1,0.051,0.6,0.3,30.0,UNFAIR
CatBoost,RACE,TI,0.02176,0.01332,0.1,0.0782,5.9,0.0,100.0,FAIR
CatBoost,RACE,PP,0.108252,0.072408,0.1,0.0083,0.1,0.3333,66.7,FAIR
CatBoost,RACE,CAL,0.552968,0.13368,0.05,0.503,3.8,0.0,0.0,UNFAIR
CatBoost,SEX,DI,0.741695,0.015597,0.8,0.0583,3.7,0.0,0.0,UNFAIR
CatBoost,SEX,SPD,0.133909,0.009869,0.1,0.0339,3.4,0.0,0.0,UNFAIR
CatBoost,SEX,EOPP,0.052599,0.009174,0.1,0.0474,5.2,0.0,100.0,FAIR
CatBoost,SEX,EOD,0.064313,0.007825,0.1,0.0357,4.6,0.0,100.0,FAIR
CatBoost,SEX,TI,0.002463,0.001638,0.1,0.0975,59.6,0.0,100.0,FAIR
CatBoost,SEX,PP,0.009179,0.006747,0.1,0.0908,13.5,0.0,100.0,FAIR
CatBoost,SEX,CAL,0.072986,0.015147,0.05,0.023,1.5,0.0333,3.3,UNFAIR
CatBoost,ETHNICITY,DI,0.825077,0.021126,0.8,0.0251,1.2,0.1333,86.7,FAIR
CatBoost,ETHNICITY,SPD,0.079683,0.010327,0.1,0.0203,2.0,0.0333,96.7,FAIR
CatBoost,ETHNICITY,EOPP,0.032986,0.011147,0.1,0.067,6.0,0.0,100.0,FAIR
CatBoost,ETHNICITY,EOD,0.036867,0.008453,0.1,0.0631,7.5,0.0,100.0,FAIR
CatBoost,ETHNICITY,TI,0.002299,0.001711,0.1,0.0977,57.1,0.0,100.0,FAIR
CatBoost,ETHNICITY,PP,0.013043,0.008668,0.1,0.087,10.0,0.0,100.0,FAIR
