Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,EOPP_RACE,EOPP_AGE,EOPP_SEX,EOPP_ETH,EOD_RACE,EOD_AGE,EOD_SEX,EOD_ETH,SPD_RACE,SPD_AGE,SPD_SEX,SPD_ETH,Total_Fair
Standard,0.6,1.0,0.4,0.79055916465794,0.9527087450567469,8.704182114946013,0.8905683908217653,4,0.780693934046651,1,0.9152590713345782,5,0.9541477172680748,6,0.023558965306538227,0.2037313843390065,0.020586140681972287,0.026162091315088287,0.13428783194802144,0.38014038653439425,0.18641269689084655,0.09266663493717367,0.054363332221882,0.11872275189492904,0.042255112006474194,0.02291618803466744,16
Standard,0.6,1.0,0.8,0.8289537686595397,0.9527087450567469,4.864721714786036,0.880925051182993,4,0.7872614739682128,1,0.9691597296448087,6,0.9773412786685897,7,0.036277077720155426,0.16419149447598191,0.020523595906916325,0.019804566083733377,0.13321804871420076,0.18012522027093092,0.09203699998169457,0.048772719929352254,0.05942179778191642,0.10335881217582116,0.01414271811669543,0.010251506312743963,18
Standard,0.7,0.0,0.0,0.854377222660599,0.9527087450567469,2.322376314680108,0.8047661370552436,5,0.5514972677379293,1,0.8556738372040803,7,0.9005967494402207,7,0.047372451979072916,0.11301522240731499,0.0027665016541027487,0.011660148596015496,0.047372451979072916,0.11301522240731499,0.019691206557699653,0.011660148596015496,0.09063315462985283,0.22658189692626252,0.06752081281289957,0.0434363912250173,20
Standard,0.7,0.0,0.4,0.8609600812858733,0.9527087450567469,1.6640904521526778,0.7502053963476287,3,0.4836971711037234,1,0.8364747091619115,7,0.8862758068844508,7,0.033338829455334285,0.1130752267648657,0.0048357347969953945,0.0052559501211170145,0.04870330962806031,0.1130752267648657,0.006028892709530276,0.0052559501211170145,0.11925128157610937,0.2665776058086441,0.07691735343151274,0.04949446989886558,18
Standard,0.7,0.0,0.8,0.8652567747235523,0.9527087450567469,1.2344211083847756,0.7190579559566395,3,0.4319161492991271,1,0.8239279623160465,7,0.8718855922758904,7,0.06469258896443364,0.1137411296155435,0.00570902053199418,0.0018559870984071747,0.06469258896443364,0.1137411296155435,0.00570902053199418,0.0057279448794672755,0.1377357156475264,0.29928865164308427,0.0831044033258116,0.05568006714763074,18
Standard,0.7,0.4,0.0,0.8287646060553652,0.9527087450567469,4.8836379752034915,0.9267634583910795,4,0.7939288032853213,2,0.9476983994381694,6,0.9641533090872834,7,0.0776136546796169,0.17254114955242172,0.008512343000338318,0.02410764531345777,0.11182803145149273,0.18062084716452909,0.08361620167244575,0.03547816743152091,0.03399217746625338,0.09893694184917862,0.023996778752463588,0.016059932263146337,19
Standard,0.7,0.4,0.4,0.8459027379935793,0.9527087450567469,3.16982478138208,0.8286646265339058,5,0.630826462402499,1,0.8962933646479757,7,0.9229085683856454,7,0.016930041531709183,0.13656085136003882,0.007538695418909391,0.015642847364238932,0.07251366556218114,0.13656085136003882,0.045038972104534586,0.015642847364238932,0.0818912216341981,0.18206315794492844,0.047840499213796184,0.033943824644060094,20
Standard,0.7,0.4,0.8,0.85431777155643,0.9527087450567469,2.328321425097013,0.7838778326676791,3,0.5415368147297146,1,0.8683498783953651,7,0.9027876213711508,7,0.05184459553391596,0.13205125574245757,0.0062225017216004375,0.010125426403196358,0.08975480638190991,0.13205125574245757,0.023942589150669047,0.010125426403196358,0.10571426249764104,0.23094892143679335,0.061062777285323666,0.04246095342887907,18
Standard,0.7,0.8,0.0,0.7778204144282426,0.9527087450567469,9.978057137915751,0.9367756596389346,4,0.7482531633926629,1,0.9021987187185377,5,0.9438642473088892,6,0.09854676543358132,0.2399837270540437,0.011557435663231752,0.03353381987167092,0.12368457758098789,0.41362327906624285,0.2014808460386151,0.09298119726724019,0.03109156329715207,0.1409736481071131,0.04863312755622612,0.028056798524051074,16
Standard,0.7,0.8,0.4,0.7956935781998206,0.9527087450567469,8.190740760757953,0.8990560339177277,4,0.846974968254101,3,0.9389234311574045,5,0.9556496896734131,6,0.024287883612576056,0.21018684248099173,0.01570963720277252,0.027569444150413847,0.137964292921499,0.3428594711130083,0.16768624572880725,0.09034224221149559,0.049673431680117675,0.07766832726161221,0.029427758703605533,0.021585264703489204,18
