Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
HistGradientBoosting,AGE_GROUP,CAL,0.038579,0.005758,0.05,0.0114,2.0,0.0,100.0,FAIR
XGBoost,RACE,DI,0.640668,0.046114,0.8,0.1593,3.5,0.0,0.0,UNFAIR
XGBoost,RACE,SPD,0.183204,0.024569,0.1,0.0832,3.4,0.0,0.0,UNFAIR
XGBoost,RACE,EOPP,0.048148,0.022999,0.1,0.0519,2.3,0.0333,96.7,FAIR
XGBoost,RACE,EOD,0.055077,0.01971,0.1,0.0449,2.3,0.0333,96.7,FAIR
XGBoost,RACE,TI,0.010048,0.004806,0.1,0.09,18.7,0.0,100.0,FAIR
XGBoost,RACE,PP,0.080364,0.037749,0.1,0.0196,0.5,0.3333,66.7,FAIR
XGBoost,RACE,CAL,0.25555,0.084127,0.05,0.2056,2.4,0.0,0.0,UNFAIR
XGBoost,SEX,DI,0.760649,0.006357,0.8,0.0394,6.2,0.0,0.0,UNFAIR
XGBoost,SEX,SPD,0.124394,0.004063,0.1,0.0244,6.0,0.0,0.0,UNFAIR
XGBoost,SEX,EOPP,0.034636,0.005283,0.1,0.0654,12.4,0.0,100.0,FAIR
XGBoost,SEX,EOD,0.05122,0.003114,0.1,0.0488,15.7,0.0,100.0,FAIR
XGBoost,SEX,TI,0.004964,0.001126,0.1,0.095,84.4,0.0,100.0,FAIR
XGBoost,SEX,PP,0.003875,0.002361,0.1,0.0961,40.7,0.0,100.0,FAIR
XGBoost,SEX,CAL,0.037545,0.007348,0.05,0.0125,1.7,0.0667,93.3,FAIR
XGBoost,ETHNICITY,DI,0.832992,0.008089,0.8,0.033,4.1,0.0,100.0,FAIR
XGBoost,ETHNICITY,SPD,0.077173,0.003995,0.1,0.0228,5.7,0.0,100.0,FAIR
XGBoost,ETHNICITY,EOPP,0.017364,0.003943,0.1,0.0826,21.0,0.0,100.0,FAIR
XGBoost,ETHNICITY,EOD,0.028739,0.003006,0.1,0.0713,23.7,0.0,100.0,FAIR
XGBoost,ETHNICITY,TI,0.003104,0.000995,0.1,0.0969,97.4,0.0,100.0,FAIR
XGBoost,ETHNICITY,PP,0.003843,0.002807,0.1,0.0962,34.3,0.0,100.0,FAIR
XGBoost,ETHNICITY,CAL,0.040512,0.011614,0.05,0.0095,0.8,0.1667,83.3,FAIR
XGBoost,AGE_GROUP,DI,0.528023,0.003707,0.8,0.272,73.4,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,SPD,0.284979,0.003374,0.1,0.185,54.8,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,EOPP,0.085166,0.003367,0.1,0.0148,4.4,0.0,100.0,FAIR
XGBoost,AGE_GROUP,EOD,0.091564,0.003276,0.1,0.0084,2.6,0.0,100.0,FAIR
XGBoost,AGE_GROUP,TI,0.005509,0.000898,0.1,0.0945,105.2,0.0,100.0,FAIR
XGBoost,AGE_GROUP,PP,0.052239,0.004009,0.1,0.0478,11.9,0.0,100.0,FAIR
XGBoost,AGE_GROUP,CAL,0.043322,0.008325,0.05,0.0067,0.8,0.1333,86.7,FAIR
LightGBM,RACE,DI,0.650835,0.044503,0.8,0.1492,3.4,0.0,0.0,UNFAIR
LightGBM,RACE,SPD,0.178021,0.023642,0.1,0.078,3.3,0.0,0.0,UNFAIR
LightGBM,RACE,EOPP,0.053145,0.024351,0.1,0.0469,1.9,0.0667,93.3,FAIR
LightGBM,RACE,EOD,0.055114,0.022579,0.1,0.0449,2.0,0.0667,93.3,FAIR
LightGBM,RACE,TI,0.009547,0.004494,0.1,0.0905,20.1,0.0,100.0,FAIR
LightGBM,RACE,PP,0.097762,0.044214,0.1,0.0022,0.1,0.4667,53.3,FAIR
LightGBM,RACE,CAL,0.271236,0.101239,0.05,0.2212,2.2,0.0,0.0,UNFAIR
LightGBM,SEX,DI,0.759716,0.005828,0.8,0.0403,6.9,0.0,0.0,UNFAIR
LightGBM,SEX,SPD,0.124865,0.003726,0.1,0.0249,6.7,0.0,0.0,UNFAIR
LightGBM,SEX,EOPP,0.034537,0.004846,0.1,0.0655,13.5,0.0,100.0,FAIR
LightGBM,SEX,EOD,0.051354,0.003322,0.1,0.0486,14.6,0.0,100.0,FAIR
LightGBM,SEX,TI,0.004692,0.001074,0.1,0.0953,88.7,0.0,100.0,FAIR
LightGBM,SEX,PP,0.003118,0.002467,0.1,0.0969,39.3,0.0,100.0,FAIR
LightGBM,SEX,CAL,0.038414,0.008778,0.05,0.0116,1.3,0.1,90.0,FAIR
LightGBM,ETHNICITY,DI,0.830803,0.007624,0.8,0.0308,4.0,0.0,100.0,FAIR
LightGBM,ETHNICITY,SPD,0.078172,0.003774,0.1,0.0218,5.8,0.0,100.0,FAIR
LightGBM,ETHNICITY,EOPP,0.020818,0.003759,0.1,0.0792,21.1,0.0,100.0,FAIR
LightGBM,ETHNICITY,EOD,0.027625,0.002691,0.1,0.0724,26.9,0.0,100.0,FAIR
LightGBM,ETHNICITY,TI,0.002615,0.000885,0.1,0.0974,110.0,0.0,100.0,FAIR
LightGBM,ETHNICITY,PP,0.004418,0.003266,0.1,0.0956,29.3,0.0,100.0,FAIR
LightGBM,ETHNICITY,CAL,0.036329,0.011454,0.05,0.0137,1.2,0.1,90.0,FAIR
LightGBM,AGE_GROUP,DI,0.526404,0.00367,0.8,0.2736,74.5,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,SPD,0.286098,0.00334,0.1,0.1861,55.7,0.0,0.0,UNFAIR
LightGBM,AGE_GROUP,EOPP,0.084626,0.003301,0.1,0.0154,4.7,0.0,100.0,FAIR
LightGBM,AGE_GROUP,EOD,0.091961,0.003593,0.1,0.008,2.2,0.0,100.0,FAIR
LightGBM,AGE_GROUP,TI,0.005101,0.000899,0.1,0.0949,105.6,0.0,100.0,FAIR
LightGBM,AGE_GROUP,PP,0.048997,0.00421,0.1,0.051,12.1,0.0,100.0,FAIR
LightGBM,AGE_GROUP,CAL,0.039538,0.009374,0.05,0.0105,1.1,0.1667,83.3,FAIR
AdaBoost,RACE,DI,0.619356,0.046602,0.8,0.1806,3.9,0.0,0.0,UNFAIR
AdaBoost,RACE,SPD,0.182612,0.022914,0.1,0.0826,3.6,0.0,0.0,UNFAIR
AdaBoost,RACE,EOPP,0.130759,0.049903,0.1,0.0308,0.6,0.3667,36.7,UNFAIR
AdaBoost,RACE,EOD,0.130759,0.049903,0.1,0.0308,0.6,0.3667,36.7,UNFAIR
AdaBoost,RACE,TI,0.004399,0.00246,0.1,0.0956,38.9,0.0,100.0,FAIR
AdaBoost,RACE,PP,0.123217,0.052132,0.1,0.0232,0.4,0.3333,33.3,UNFAIR
AdaBoost,RACE,CAL,0.221338,0.024099,0.05,0.1713,7.1,0.0,0.0,UNFAIR
AdaBoost,SEX,DI,0.69886,0.005302,0.8,0.1011,19.1,0.0,0.0,UNFAIR
AdaBoost,SEX,SPD,0.15905,0.003634,0.1,0.0591,16.2,0.0,0.0,UNFAIR
AdaBoost,SEX,EOPP,0.081053,0.004247,0.1,0.0189,4.5,0.0,100.0,FAIR
AdaBoost,SEX,EOD,0.098675,0.00405,0.1,0.0013,0.3,0.4,60.0,FAIR
AdaBoost,SEX,TI,0.003268,0.000423,0.1,0.0967,228.4,0.0,100.0,FAIR
AdaBoost,SEX,PP,0.014748,0.004373,0.1,0.0853,19.5,0.0,100.0,FAIR
