metric,attribute,fold,metric_value,verdict
PP,ETHNICITY,19,0.078259,Pass
CAL,ETHNICITY,0,0.001323,Pass
CAL,ETHNICITY,1,0.004474,Pass
CAL,ETHNICITY,2,0.005297,Pass
CAL,ETHNICITY,3,0.004287,Pass
CAL,ETHNICITY,4,0.008796,Pass
CAL,ETHNICITY,5,0.011732,Pass
CAL,ETHNICITY,6,0.001406,Pass
CAL,ETHNICITY,7,0.001718,Pass
CAL,ETHNICITY,8,0.005422,Pass
CAL,ETHNICITY,9,0.010645,Pass
CAL,ETHNICITY,10,0.00742,Pass
CAL,ETHNICITY,11,0.0053,Pass
CAL,ETHNICITY,12,0.008931,Pass
CAL,ETHNICITY,13,0.005946,Pass
CAL,ETHNICITY,14,0.007324,Pass
CAL,ETHNICITY,15,0.002494,Pass
CAL,ETHNICITY,16,0.005834,Pass
CAL,ETHNICITY,17,0.005199,Pass
CAL,ETHNICITY,18,0.020176,Pass
CAL,ETHNICITY,19,0.003872,Pass
DI,AGE_GROUP,0,0.808405,Pass
DI,AGE_GROUP,1,0.663231,Fail
DI,AGE_GROUP,2,0.688875,Fail
DI,AGE_GROUP,3,0.683514,Fail
DI,AGE_GROUP,4,0.687298,Fail
DI,AGE_GROUP,5,0.856601,Pass
DI,AGE_GROUP,6,0.686934,Fail
DI,AGE_GROUP,7,0.512091,Fail
DI,AGE_GROUP,8,0.814907,Pass
DI,AGE_GROUP,9,0.766373,Fail
DI,AGE_GROUP,10,0.705388,Fail
DI,AGE_GROUP,11,0.681851,Fail
DI,AGE_GROUP,12,0.83317,Pass
DI,AGE_GROUP,13,0.79051,Fail
DI,AGE_GROUP,14,0.591909,Fail
DI,AGE_GROUP,15,0.776935,Fail
DI,AGE_GROUP,16,0.554091,Fail
DI,AGE_GROUP,17,0.802887,Pass
DI,AGE_GROUP,18,0.790968,Fail
DI,AGE_GROUP,19,0.41728,Fail
SPD,AGE_GROUP,0,0.121541,Fail
SPD,AGE_GROUP,1,0.215563,Fail
SPD,AGE_GROUP,2,0.201911,Fail
SPD,AGE_GROUP,3,0.207059,Fail
SPD,AGE_GROUP,4,0.199912,Fail
SPD,AGE_GROUP,5,0.086286,Pass
SPD,AGE_GROUP,6,0.192488,Fail
SPD,AGE_GROUP,7,0.327904,Fail
SPD,AGE_GROUP,8,0.113025,Fail
SPD,AGE_GROUP,9,0.140674,Fail
SPD,AGE_GROUP,10,0.164668,Fail
SPD,AGE_GROUP,11,0.189006,Fail
SPD,AGE_GROUP,12,0.10436,Fail
SPD,AGE_GROUP,13,0.137803,Fail
SPD,AGE_GROUP,14,0.242444,Fail
SPD,AGE_GROUP,15,0.116834,Fail
SPD,AGE_GROUP,16,0.27464,Fail
SPD,AGE_GROUP,17,0.127607,Fail
SPD,AGE_GROUP,18,0.115413,Fail
SPD,AGE_GROUP,19,0.366956,Fail
EOPP,AGE_GROUP,0,0.086714,Pass
EOPP,AGE_GROUP,1,0.082932,Pass
EOPP,AGE_GROUP,2,0.094826,Pass
EOPP,AGE_GROUP,3,0.096995,Pass
EOPP,AGE_GROUP,4,0.073725,Pass
EOPP,AGE_GROUP,5,0.089086,Pass
EOPP,AGE_GROUP,6,0.112121,Fail
EOPP,AGE_GROUP,7,0.102501,Fail
EOPP,AGE_GROUP,8,0.09125,Pass
EOPP,AGE_GROUP,9,0.080172,Pass
EOPP,AGE_GROUP,10,0.109323,Fail
EOPP,AGE_GROUP,11,0.087073,Pass
EOPP,AGE_GROUP,12,0.084204,Pass
EOPP,AGE_GROUP,13,0.08961,Pass
EOPP,AGE_GROUP,14,0.091421,Pass
EOPP,AGE_GROUP,15,0.103115,Fail
EOPP,AGE_GROUP,16,0.170282,Fail
EOPP,AGE_GROUP,17,0.08876,Pass
EOPP,AGE_GROUP,18,0.121069,Fail
EOPP,AGE_GROUP,19,0.129243,Fail
EOD,AGE_GROUP,0,0.246389,Fail
EOD,AGE_GROUP,1,0.201043,Fail
EOD,AGE_GROUP,2,0.20799,Fail
EOD,AGE_GROUP,3,0.159349,Fail
EOD,AGE_GROUP,4,0.155425,Fail
EOD,AGE_GROUP,5,0.19075,Fail
EOD,AGE_GROUP,6,0.178292,Fail
EOD,AGE_GROUP,7,0.222662,Fail
EOD,AGE_GROUP,8,0.176235,Fail
EOD,AGE_GROUP,9,0.230012,Fail
EOD,AGE_GROUP,10,0.260995,Fail
EOD,AGE_GROUP,11,0.11751,Fail
EOD,AGE_GROUP,12,0.299952,Fail
EOD,AGE_GROUP,13,0.238041,Fail
EOD,AGE_GROUP,14,0.169686,Fail
EOD,AGE_GROUP,15,0.148172,Fail
EOD,AGE_GROUP,16,0.259279,Fail
EOD,AGE_GROUP,17,0.261192,Fail
EOD,AGE_GROUP,18,0.229595,Fail
EOD,AGE_GROUP,19,0.336449,Fail
TI,AGE_GROUP,0,0.003607,Pass
TI,AGE_GROUP,1,0.010477,Pass
TI,AGE_GROUP,2,0.009231,Pass
TI,AGE_GROUP,3,0.012798,Pass
TI,AGE_GROUP,4,0.012809,Pass
TI,AGE_GROUP,5,0.002105,Pass
TI,AGE_GROUP,6,0.011005,Pass
TI,AGE_GROUP,7,0.026204,Pass
TI,AGE_GROUP,8,0.003568,Pass
TI,AGE_GROUP,9,0.004898,Pass
TI,AGE_GROUP,10,0.009103,Pass
TI,AGE_GROUP,11,0.009587,Pass
TI,AGE_GROUP,12,0.002366,Pass
TI,AGE_GROUP,13,0.00352,Pass
TI,AGE_GROUP,14,0.019715,Pass
TI,AGE_GROUP,15,0.007086,Pass
TI,AGE_GROUP,16,0.022272,Pass
TI,AGE_GROUP,17,0.003432,Pass
TI,AGE_GROUP,18,0.004149,Pass
TI,AGE_GROUP,19,0.043681,Pass
PP,AGE_GROUP,0,0.462234,Fail
PP,AGE_GROUP,1,0.463062,Fail
PP,AGE_GROUP,2,0.45049,Fail
PP,AGE_GROUP,3,0.467409,Fail
PP,AGE_GROUP,4,0.497013,Fail
PP,AGE_GROUP,5,0.434746,Fail
PP,AGE_GROUP,6,0.551111,Fail
PP,AGE_GROUP,7,0.474265,Fail
PP,AGE_GROUP,8,0.455876,Fail
PP,AGE_GROUP,9,0.543434,Fail
PP,AGE_GROUP,10,0.488916,Fail
PP,AGE_GROUP,11,0.461586,Fail
PP,AGE_GROUP,12,0.496843,Fail
PP,AGE_GROUP,13,0.385426,Fail
PP,AGE_GROUP,14,0.533896,Fail
PP,AGE_GROUP,15,0.431162,Fail
PP,AGE_GROUP,16,0.499386,Fail
PP,AGE_GROUP,17,0.465452,Fail
PP,AGE_GROUP,18,0.454971,Fail
PP,AGE_GROUP,19,0.514086,Fail
CAL,AGE_GROUP,0,0.044412,Pass
CAL,AGE_GROUP,1,0.011914,Pass
CAL,AGE_GROUP,2,0.016845,Pass
CAL,AGE_GROUP,3,0.007482,Pass
CAL,AGE_GROUP,4,0.024771,Pass
CAL,AGE_GROUP,5,0.024563,Pass
CAL,AGE_GROUP,6,0.024015,Pass
CAL,AGE_GROUP,7,0.007462,Pass
CAL,AGE_GROUP,8,0.015827,Pass
CAL,AGE_GROUP,9,0.01919,Pass
CAL,AGE_GROUP,10,0.042048,Pass
CAL,AGE_GROUP,11,0.022207,Pass
CAL,AGE_GROUP,12,0.034722,Pass
CAL,AGE_GROUP,13,0.007531,Pass
CAL,AGE_GROUP,14,0.034828,Pass
CAL,AGE_GROUP,15,0.019812,Pass
CAL,AGE_GROUP,16,0.030878,Pass
CAL,AGE_GROUP,17,0.010038,Pass
CAL,AGE_GROUP,18,0.018881,Pass
CAL,AGE_GROUP,19,0.029504,Pass
