k,DI_race,DI_age,pass_DI_race,pass_DI_age
126,0.8595395481917516,0.6826152730835818,1,0
127,0.8055674096444868,0.7066868949331546,1,0
128,0.6792037272342228,0.6901343386747834,0,0
129,0.7917041030248577,0.717557250677566,0,0
130,0.7227054245822843,0.6984065059163722,0,0
131,0.826118772867999,0.687832585909086,1,0
132,0.6544401544401545,0.6680289098520292,0,0
133,0.830694894780342,0.7174886872683448,1,0
134,0.722448040493903,0.6984933262454309,0,0
135,0.8120530570540354,0.7238433450648873,1,0
136,0.848341166679495,0.698765162140183,1,0
137,0.7696049001801091,0.7206410868519916,0,0
138,0.6083630800611933,0.6523458887188487,0,0
139,0.8154505883416644,0.697597391089948,1,0
140,0.6851535956465961,0.6733290176403949,0,0
141,0.7874684760417917,0.6802960434987209,0,0
142,0.7993450611737056,0.6887468968044865,0,0
143,0.8407953529937444,0.6737842350510441,1,0
144,0.7389639673723877,0.6750606925215084,0,0
145,0.7059415584415584,0.6543233147633687,0,0
146,0.7368910311585471,0.6587964851883737,0,0
147,0.7365744203440538,0.7130243108036488,0,0
148,0.7019927536231884,0.7148642781324138,0,0
149,0.8550468860058159,0.7136649557339212,1,0
150,0.7614546470478675,0.6753704433843742,0,0
151,0.7951732673267327,0.7270711664970559,0,0
152,0.8315966011624246,0.6509416950445702,1,0
153,0.6721339838748746,0.6846806064739396,0,0
154,0.8021108179419525,0.7132494030968444,1,0
155,0.7858821727979175,0.6632286862200477,0,0
156,0.3975025658569963,0.6891559549461979,0,0
157,0.8426973353443943,0.6893079704202375,1,0
158,0.8255332208071199,0.6872743326787835,1,0
159,0.8287220026350461,0.6863051886601743,1,0
160,0.7279040404040403,0.7295892946117161,0,0
161,0.8139841688654355,0.700368013300307,1,0
162,0.7670273532342498,0.6835535550498564,0,0
163,0.7275461193405547,0.6895180980938103,0,0
164,0.7503498134328358,0.6964813855541521,0,0
165,0.6430226341115666,0.6808313955845425,0,0
166,0.7029134532990574,0.6905794319888918,0,0
167,0.7034405163735418,0.720843849543737,0,0
168,0.6137640449438203,0.6629223876957295,0,0
169,0.7799486208761492,0.6806707121393354,0,0
170,0.6528610354223434,0.66649506457829,0,0
171,0.7590467784642543,0.7037811527149516,0,0
172,0.856148715765574,0.7123145179800588,1,0
173,0.7447187277474483,0.6629106194425398,0,0
174,0.8356779227038588,0.6983682161622944,1,0
175,0.7241379310344828,0.6994307928161113,0,0
176,0.6108210726150926,0.6947273634464138,0,0
177,0.5035549979088247,0.6848706503138183,0,0
178,0.7857450473729544,0.6850122128395775,0,0
179,0.8558411214953271,0.741559880784322,1,0
180,0.8532384777724827,0.679398104747773,1,0
181,0.8069738219895287,0.660538742268135,1,0
182,0.8462313286163521,0.6838472633712771,1,0
183,0.753500313460907,0.6808204380458716,0,0
184,0.8323586744639376,0.710145591309783,1,0
185,0.7991014120667522,0.6917609081713226,0,0
186,0.7686729514140681,0.6733933336648269,0,0
187,0.8285796105383734,0.6627947865094992,1,0
188,0.872840578198824,0.7173389348099652,1,0
189,0.8181818181818181,0.6708636620413357,1,0
190,0.7489855072463768,0.6858463766963001,0,0
191,0.6671459381739756,0.6825362770786852,0,0
192,0.7090834816608795,0.7075102018083284,0,0
193,0.7789066279632317,0.6923718431002684,0,0
194,0.8436090225563909,0.6700992383536475,1,0
195,0.6192362093352192,0.6618428906951705,0,0
196,0.6725455614344503,0.6699670506789107,0,0
197,0.7102050491881001,0.6982267513303649,0,0
198,0.8371876455067514,0.6892419391635933,1,0
199,0.7202636602242902,0.687088808254073,0,0
200,0.6819352215747391,0.6840975989164616,0,0
201,0.7772647205932456,0.668911382128749,0,0
202,0.6588898306344887,0.6853329345408248,0,0
203,0.7047523314904786,0.6680835883016016,0,0
204,0.7274260508562533,0.6933372147369777,0,0
205,0.7747093023255814,0.6974974631359324,0,0
206,0.8053777208706786,0.6591336749694241,1,0
207,0.7936842105263158,0.682268997027533,0,0
208,0.8622982498827496,0.6999832447887373,1,0
209,0.8270492060882683,0.7040327729215632,1,0
210,0.6985695708712614,0.6875816372574631,0,0
211,0.8470185228467922,0.6784059655788369,1,0
212,0.7995724925687185,0.6646101889384772,0,0
213,0.7523122794207131,0.6860907586587677,0,0
214,0.783068783068783,0.6999631442509173,0,0
215,0.6911252653927813,0.6866405139724808,0,0
216,0.8806230436926507,0.717352267262042,1,0
217,0.6080134806216064,0.7111030340515685,0,0
218,0.5673624288425048,0.7000307606707479,0,0
219,0.6876352138458978,0.6893043033473385,0,0
220,0.874511011858925,0.6837326843878697,1,0
221,0.8078139966909523,0.7244556841571766,1,0
222,0.8268372468011402,0.6836263622071527,1,0
223,0.8177726706884995,0.6882421922137527,1,0
224,0.7151979565772668,0.676407661892973,0,0
